,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,guerrero negro,27.9769,-114.0611,61.59,44,0,16.08,MX,1674429069
365,kupang,-10.1667,123.5833,75.78,94,20,2.3,ID,1674429069
366,coahuayana,18.7333,-103.6833,80.22,63,15,6.15,MX,1674429070
367,yenangyaung,20.4667,94.8833,62.58,54,6,4.34,MM,1674429070
368,leh,34.1667,77.5833,-3.8,56,40,2.59,IN,1674429071
369,kropachevo,55.0112,57.9896,0.48,98,96,3.2,RU,1674429071
370,daru,-9.0763,143.2092,80.92,83,99,5.95,PG,1674428863
371,vila velha,-20.3297,-40.2925,77.99,86,100,3.36,BR,1674429072
372,agua branca,-5.8922,-42.6361,78.76,68,76,2.13,BR,1674429072
373,palma,39.5694,2.6502,43.05,68,75,6.91,ES,1674429012
374,talaya,61.3833,152.75,-24.32,98,100,6.04,RU,1674429073
375,gairo,39.8497,9.5047,27.18,82,38,5.64,IT,1674429074
376,suez,29.9737,32.5263,56.89,76,58,9.6,EG,1674429074
377,kautokeino,69.0125,23.0412,18.63,76,26,22.28,NO,1674429074
378,huitziltepec,17.8167,-99.4667,79.11,26,0,3.22,MX,1674429075
379,lubango,-14.9172,13.4925,59.56,98,100,2.89,AO,1674429075
380,barcelona,41.3888,2.159,43.54,56,75,8.05,ES,1674428795
381,tabou,4.423,-7.3528,78.42,85,81,7.02,CI,1674429076
382,dongdu,35.85,117.7,33.26,80,87,1.5,CN,1674429077
383,katobu,-4.9408,122.5276,76.59,90,99,2.46,ID,1674429077
384,yulara,-25.2406,130.9889,83.7,18,5,15.55,AU,1674429078
385,jacqueville,5.2052,-4.4146,80.65,86,69,14.76,CI,1674429078
386,ozernovskiy,51.5,156.5167,8.37,83,46,9.66,RU,1674429078
387,hamilton,39.1834,-84.5333,34.99,93,100,4.61,US,1674429079
388,durban,-29.8579,31.0292,79.02,91,62,4.0,ZA,1674428976
389,havre-saint-pierre,50.2334,-63.5986,25.16,80,100,13.8,CA,1674429080
390,kerema,-7.9631,145.7785,81.34,79,99,3.6,PG,1674429080
391,ajuchitlan,20.7167,-100.0167,74.59,20,0,9.55,MX,1674429081
392,dzhebariki-khaya,62.2167,135.8,-61.28,100,100,1.14,RU,1674429081
393,hue,16.4667,107.6,68.11,100,100,3.44,VN,1674429081
394,wuwei,37.9281,102.6414,8.33,67,100,10.42,CN,1674429082
395,pyapon,16.2833,95.6833,64.45,59,99,6.51,MM,1674429082
396,tanout,14.9709,8.8879,69.31,11,100,9.69,NE,1674429083
397,bure,10.7,37.0667,59.22,45,98,5.75,ET,1674429083
398,lokosovo,61.1333,74.8167,11.61,95,99,7.27,RU,1674429084
399,inhambane,-23.865,35.3833,80.71,78,98,14.45,MZ,1674428965
400,saint-augustin,51.226,-58.6502,14.18,90,41,6.69,CA,1674429084
401,grand gaube,-20.0064,57.6608,77.38,81,100,9.17,MU,1674429066
402,eureka,40.8021,-124.1637,55.74,64,27,14.0,US,1674429009
403,skjervoy,70.0311,20.9714,42.8,74,93,10.92,NO,1674429085
404,nsanje,-16.92,35.262,74.07,91,100,4.12,MW,1674429086
405,khasan,42.4308,130.6434,11.75,85,90,7.23,RU,1674429086
406,sorong,-0.8833,131.25,79.3,82,100,1.97,ID,1674429087
407,saint simons,31.1352,-81.3901,64.44,88,75,0.0,US,1674429087
408,iskateley,67.6803,53.1512,25.81,94,100,15.23,RU,1674429088
409,inuvik,68.3499,-133.7218,-3.24,84,100,5.75,CA,1674429088
410,mabaruma,8.2,-59.7833,71.71,96,16,4.0,GY,1674429088
411,paranhos,-23.8928,-55.4311,69.84,96,100,7.27,BR,1674429089
412,san francisco,37.7749,-122.4194,62.1,30,40,17.27,US,1674428973
413,nueva guinea,11.6876,-84.4562,75.51,78,14,10.58,NI,1674429089
414,san cristobal,7.7669,-72.225,68.49,67,85,3.02,VE,1674429090
415,beitbridge,-22.2167,30.0,78.31,44,94,11.43,ZW,1674429090
416,noumea,-22.2763,166.4572,85.98,99,99,4.54,NC,1674428959
417,nizwa,22.9333,57.5333,58.08,69,59,1.63,OM,1674429091
418,casper,42.8666,-106.3131,24.73,73,100,8.05,US,1674429091
419,prainha,-1.8,-53.48,79.02,76,84,3.58,BR,1674429092
420,yaan,7.3833,8.5667,82.02,15,52,1.74,NG,1674429092
421,porto novo,6.4965,2.6036,80.11,81,88,7.25,BJ,1674428885
422,cam ranh,11.9214,109.1591,76.96,78,20,8.05,VN,1674429093
423,copiapo,-27.3667,-70.3333,64.09,47,0,6.67,CL,1674429093
424,anadyr,64.75,177.4833,-10.7,69,0,2.24,RU,1674429094
425,pingliang,35.5392,106.6861,19.47,43,100,12.93,CN,1674429094
426,taywarah,33.35,64.4167,2.28,88,16,4.9,AF,1674429095
427,nome,64.5011,-165.4064,-2.13,55,0,5.75,US,1674428914
428,sola,-13.8833,167.55,79.68,81,99,10.74,VU,1674429095
429,henties bay,-22.116,14.2845,66.07,84,85,4.41,NA,1674429096
430,el reno,35.5323,-97.955,44.19,49,0,10.36,US,1674429056
431,union city,37.5958,-122.0192,62.06,30,0,17.27,US,1674429096
432,cururupu,-1.8283,-44.8683,74.7,94,13,3.58,BR,1674429097
433,zemio,5.0314,25.1361,71.8,33,53,1.92,CF,1674429097
434,geraldton,-28.7667,114.6,72.01,78,100,11.5,AU,1674429098
435,palana,59.1167,159.9667,-2.58,97,100,9.26,RU,1674429098
436,juba,4.8517,31.5825,77.88,27,84,1.21,SS,1674429099
437,corinth,37.9407,22.9573,56.89,86,35,5.08,GR,1674429099
438,talnakh,69.4865,88.3972,-12.05,97,99,2.3,RU,1674428978
439,sao joao da barra,-21.6403,-41.0511,78.89,92,31,5.19,BR,1674429100
440,vostok,46.4856,135.8833,-27.31,96,14,4.34,RU,1674429100
441,sabha,27.0377,14.4283,53.19,24,0,4.12,LY,1674429101
442,puerto cabezas,14.0351,-83.3888,77.63,78,9,6.85,NI,1674429101
443,nemuro,43.3236,145.575,18.64,61,27,15.08,JP,1674429102
444,lekoni,-1.5843,14.2591,76.84,70,100,5.95,GA,1674429102
445,deputatskiy,69.3,139.9,-38.47,100,68,3.42,RU,1674429103
446,saint anthony,45.0205,-93.218,20.8,91,100,6.91,US,1674429103
447,oxelosund,58.6706,17.1015,25.18,100,100,4.61,SE,1674429103
448,rocha,-34.4833,-54.3333,71.76,53,0,5.91,UY,1674429104
449,tongliao,43.6125,122.2653,-8.68,49,100,11.99,CN,1674429105
450,mudgee,-32.5943,149.5871,64.62,80,88,3.96,AU,1674429105
451,ploemeur,47.7333,-3.4333,36.82,92,43,3.44,FR,1674429105
452,sassandra,4.95,-6.0833,78.51,86,78,8.19,CI,1674429106
453,nuuk,64.1835,-51.7216,28.0,89,100,37.96,GL,1674428946
454,manokwari,-0.8667,134.0833,77.27,86,100,1.52,ID,1674429107
455,malanje,-9.5402,16.341,62.31,99,100,3.4,AO,1674429107
456,delijan,33.9905,50.6838,32.67,70,58,2.26,IR,1674429107
457,constantine,36.365,6.6147,35.01,86,40,4.61,DZ,1674429108
458,kuruman,-27.4524,23.4325,71.98,50,82,7.87,ZA,1674429108
459,uaua,-9.8414,-39.4817,79.34,54,93,2.21,BR,1674429109
460,providencia,28.7167,-111.5833,73.2,34,0,5.97,MX,1674429109
461,sibolga,1.7427,98.7792,74.07,95,100,1.43,ID,1674429110
462,tutoia,-2.7619,-42.2744,79.16,83,65,10.71,BR,1674429110
463,kuopio,62.8924,27.677,17.55,93,100,8.05,FI,1674429110
464,egvekinot,66.3167,-179.1667,-20.24,81,98,10.74,RU,1674429111
465,vardo,70.3705,31.1107,31.98,86,75,33.38,NO,1674429111
466,juneau,58.3019,-134.4197,37.22,97,100,21.85,US,1674429112
467,staryy nadym,65.6118,72.6842,17.47,95,100,11.1,RU,1674429112
468,manggar,-2.8833,108.2667,77.0,88,87,5.1,ID,1674429113
469,qom,34.6401,50.8764,36.79,59,68,1.72,IR,1674429113
470,taoudenni,22.6783,-3.9836,63.1,16,0,9.48,ML,1674429114
471,goure,13.9835,10.2704,68.5,11,17,7.61,NE,1674429114
472,qunduz,36.729,68.857,27.32,85,100,1.3,AF,1674429115
473,xingyi,24.1877,102.817,38.98,64,31,2.8,CN,1674429115
474,fort nelson,58.8053,-122.7002,19.65,96,72,2.33,CA,1674429116
475,orlik,52.5178,99.825,-44.25,91,24,2.15,RU,1674429116
476,urengoy,65.9667,78.3667,-14.21,100,90,7.07,RU,1674429116
477,aquiraz,-3.9014,-38.3911,81.18,84,25,6.31,BR,1674429117
478,tecoanapa,16.5167,-98.75,81.52,64,0,9.4,MX,1674429117
479,fort saint james,54.4333,-124.25,21.85,92,85,3.06,CA,1674429118
480,jalu,29.0331,21.5482,54.03,45,0,8.05,LY,1674429118
481,hay river,60.8156,-115.7999,-0.09,98,73,3.62,CA,1674428981
482,preobrazheniye,42.9019,133.9064,14.52,91,100,7.36,RU,1674429119
483,ust-kuyga,70.0167,135.6,-36.99,100,100,6.38,RU,1674429119
484,bilibino,68.0546,166.4372,-15.77,88,99,3.74,RU,1674429120
485,ganzhou,28.8184,115.4327,45.0,91,100,3.98,CN,1674429120
486,takoradi,4.8845,-1.7554,79.99,83,17,8.19,GH,1674429120
487,mocuba,-16.8392,36.9856,72.77,96,88,2.77,MZ,1674429121
488,micheweni,-4.9667,39.8333,80.62,82,100,12.26,TZ,1674429121
489,morro bay,35.3658,-120.8499,60.91,64,79,3.0,US,1674428869
490,buncrana,55.1333,-7.45,44.46,96,100,5.21,IE,1674429122
491,avera,33.194,-82.5271,47.71,97,100,10.49,US,1674429123
492,paita,-5.0892,-81.1144,73.89,75,29,10.36,PE,1674429123
493,bantou,26.2151,117.4893,54.77,93,75,2.08,CN,1674429124
494,gorontalo,0.5412,123.0595,76.48,91,100,2.64,ID,1674429124
495,haines junction,60.7522,-137.5108,28.44,94,100,4.56,CA,1674429125
496,jacareacanga,-6.2222,-57.7528,73.62,98,97,2.13,BR,1674429125
497,pandan,14.0453,124.1694,76.39,89,95,12.57,PH,1674429126
498,udachnyy,66.4167,112.4,-31.47,87,100,3.04,RU,1674429126
499,porbandar,21.6422,69.6093,61.32,50,0,12.41,IN,1674429127
500,grand forks,47.9417,-97.4337,10.13,85,20,10.36,US,1674429127
501,namtsy,62.7161,129.6658,-64.61,100,93,0.87,RU,1674429127
502,flin flon,54.7682,-101.865,30.04,100,100,5.75,CA,1674429128
503,victor harbor,-35.5667,138.6167,69.67,84,67,7.07,AU,1674429129
504,kurush,41.2841,47.8345,12.61,33,0,2.08,RU,1674429129
505,beauvais,49.4167,2.0,34.05,89,100,9.22,FR,1674429129
506,richards bay,-28.783,32.0377,73.22,89,10,4.18,ZA,1674429130
507,ronneby,56.21,15.276,34.3,86,100,6.91,SE,1674429130
508,kavaratti,10.5669,72.642,79.63,72,97,11.54,IN,1674429131
509,karratha,-20.7377,116.8463,83.44,62,52,7.07,AU,1674429131
510,oranjemund,-28.55,16.4333,63.01,94,22,7.43,NA,1674429132
511,acapulco,16.8634,-99.8901,84.02,61,0,4.61,MX,1674429070
512,santa cruz,-17.8,-63.1667,84.25,65,40,16.11,BO,1674428958
513,maniitsoq,65.4167,-52.9,25.0,96,100,9.82,GL,1674429133
514,turinsk,58.0458,63.696,10.27,95,68,7.92,RU,1674429133
515,alenquer,-1.9417,-54.7383,75.51,93,71,3.49,BR,1674429133
516,esperance,-33.8667,121.9,65.61,62,6,12.17,AU,1674429068
517,bilyayivka,46.4832,30.2168,35.37,86,62,7.45,UA,1674429134
518,touros,-5.1989,-35.4608,79.97,78,10,12.35,BR,1674429134
519,bosaso,11.2842,49.1816,73.02,67,30,8.66,SO,1674429135
520,kulhudhuffushi,6.6221,73.07,79.63,72,100,7.83,MV,1674429135
521,dingle,10.9995,122.6711,73.72,94,100,8.72,PH,1674429136
522,maningrida,-12.0667,134.2667,77.31,88,100,14.27,AU,1674429136
523,bathsheba,13.2167,-59.5167,79.41,73,20,21.85,BB,1674429137
524,amapa,1.0,-52.0,72.57,98,100,4.56,BR,1674429137
525,jerome,42.7241,-114.5186,23.43,86,100,3.44,US,1674429138
526,thinadhoo,0.5333,72.9333,79.9,78,53,9.78,MV,1674429138
527,latung,5.5,120.8833,80.37,77,91,4.92,PH,1674429139
528,ostrovnoy,68.0531,39.5131,26.08,86,94,25.03,RU,1674429126
529,ejido,8.5514,-71.2375,66.52,83,99,4.83,VE,1674429139
530,trinidad,-14.8333,-64.9,85.98,70,94,4.61,BO,1674429140
531,nantucket,41.2835,-70.0995,42.91,83,100,13.8,US,1674429140
532,samana,19.2056,-69.3369,76.96,81,59,8.41,DO,1674429141
533,zhigansk,66.7697,123.3711,-35.77,94,100,5.35,RU,1674429141
534,gvardeysk,54.6477,21.0651,30.25,91,25,5.55,RU,1674429142
535,coihaique,-45.5752,-72.0662,67.95,40,40,10.36,CL,1674429142
536,tezu,27.9167,96.1667,54.75,37,1,4.18,IN,1674429142
537,luwero,0.8492,32.4731,69.55,65,100,2.39,UG,1674429143
538,asyut,27.181,31.1837,54.41,55,52,5.75,EG,1674429143
539,iquitos,-3.7481,-73.2472,78.84,83,40,2.3,PE,1674429144
540,atar,20.5169,-13.0499,66.43,17,0,10.98,MR,1674429144
541,puerto narino,-3.7703,-70.3831,75.04,95,80,1.74,CO,1674428965
542,darnah,32.767,22.6367,54.28,56,0,13.0,LY,1674429145
543,dryden,49.7833,-92.7503,18.36,94,79,5.32,CA,1674429145
544,maragogi,-9.0122,-35.2225,79.36,80,4,10.16,BR,1674429146
545,faro,37.0194,-7.9322,49.78,40,0,6.91,PT,1674429146
546,ballina,-28.8667,153.5667,77.77,83,88,3.83,AU,1674429147
547,kushiro,42.975,144.3747,13.08,71,44,2.62,JP,1674429147
548,srandakan,-7.9386,110.2506,77.22,86,94,4.63,ID,1674429147
549,felipe carrillo puerto,19.5833,-88.05,80.96,66,6,7.43,MX,1674429148
550,botwood,49.1499,-55.3482,15.08,94,39,5.06,CA,1674429148
551,saquena,-4.6667,-73.5167,75.09,95,25,2.44,PE,1674429149
552,manta,-0.95,-80.7333,80.38,69,20,10.36,EC,1674429149
553,luderitz,-26.6481,15.1594,65.98,83,0,16.46,NA,1674429150
554,mareeba,-17.0,145.4333,79.48,73,72,6.13,AU,1674429150
555,sioux lookout,50.1001,-91.917,18.68,95,81,4.9,CA,1674429103
556,pauini,-7.7136,-66.9764,75.04,94,79,1.5,BR,1674429151
557,kurchum,48.5722,83.6542,-23.31,93,10,2.91,KZ,1674429151
558,te anau,-45.4167,167.7167,61.36,44,16,2.51,NZ,1674429152
559,kenitra,34.261,-6.5802,47.16,59,2,6.67,MA,1674429152
560,galle,6.0367,80.217,74.12,88,100,5.48,LK,1674429153
561,sobolevo,54.4299,31.8996,29.7,94,88,6.73,RU,1674429153
562,vilyuysk,63.7553,121.6247,-25.22,95,100,5.48,RU,1674429153
563,montrose,38.4166,-108.2673,20.61,73,100,1.74,US,1674429154
564,eirunepe,-6.6603,-69.8736,74.79,95,63,0.76,BR,1674429154
565,shadrinsk,56.0852,63.6335,16.52,91,100,11.9,RU,1674429155
566,krasnooktyabrskiy,44.9328,38.3712,33.1,84,64,5.77,RU,1674429155
567,mayo,38.8876,-76.5119,41.11,90,100,4.61,US,1674429155
568,orodara,10.9492,-4.9342,77.14,15,0,0.94,BF,1674429156
569,olafsvik,64.8945,-23.7142,32.07,53,21,31.5,IS,1674429156
570,morgan city,29.6994,-91.2068,59.0,67,0,10.36,US,1674429157
571,ocampo,21.65,-101.5,67.44,18,0,17.76,MX,1674429157
572,manzhouli,49.6,117.4333,-29.24,96,74,10.27,CN,1674429158
573,muravlenko,63.7898,74.523,7.93,97,98,9.24,RU,1674429159
574,sawakin,19.1059,37.3321,75.0,86,8,12.3,SD,1674429159
575,malappuram,11.0667,76.0667,71.76,73,75,4.61,IN,1674429160
